transaction_id,customer_id,transaction_date,merchant_category,gross_amount,city,payment_mode,status,card_tier,cashback_rate,credit_limit,cashback_amount,net_transaction,transaction_year,transaction_month,transaction_quarter,day_of_week,utilisation_flag,txn_size_bucket,is_weekend,is_approved,is_outlier
TXN0000001,CUST00457,2024-06-26 00:20:00,Online Shopping,899.7,Hyderabad,Swipe,Approved,Classic,0.005,53101,4.5,895.2,2024,6,2,Wednesday,0,Micro (<1K),0,1,0
TXN0000002,CUST00351,2023-09-11 14:26:00,Online Shopping,3989.38,Pune,Emi,Approved,Gold,0.01,219520,39.89,3949.49,2023,9,3,Monday,0,Small (1K-5K),0,1,0
TXN0000003,CUST00657,2023-11-06 04:23:00,Online Shopping,1912.77,Lucknow,Contactless,Approved,Classic,0.005,102994,9.56,1903.21,2023,11,4,Monday,0,Small (1K-5K),0,1,0
TXN0000004,CUST00904,2023-12-08 00:30:00,Electronics,26943.21,Kolkata,Contactless,Approved,Gold,0.01,171282,269.43,26673.78,2023,12,4,Friday,0,Large (15K-50K),0,1,1
TXN0000005,CUST00237,2024-07-24 13:35:00,Online Shopping,5955.07,Bengaluru,Contactless,Declined,Classic,0.005,74957,29.78,5925.29,2024,7,3,Wednesday,0,Medium (5K-15K),0,0,0
TXN0000006,CUST00186,2024-06-26 20:28:00,Fuel,1914.24,Kolkata,Contactless,Approved,Gold,0.01,274592,19.14,1895.1,2024,6,2,Wednesday,0,Small (1K-5K),0,1,0
TXN0000007,CUST00370,2024-07-11 12:01:00,Grocery,3329.42,Hyderabad,Swipe,Approved,Classic,0.005,84664,16.65,3312.77,2024,7,3,Thursday,0,Small (1K-5K),0,1,0
TXN0000008,CUST00594,2024-11-26 05:02:00,Travel,3049.56,Mumbai,Online,Approved,Classic,0.005,112216,15.25,3034.31,2024,11,4,Tuesday,0,Small (1K-5K),0,1,0
TXN0000009,CUST00288,2023-08-23 23:37:00,Fuel,2136.4,Mumbai,Swipe,Approved,Gold,0.01,224776,21.36,2115.04,2023,8,3,Wednesday,0,Small (1K-5K),0,1,0
TXN0000010,CUST00015,2023-05-14 05:07:00,Dining,850.62,Ahmedabad,Swipe,Approved,Classic,0.005,62280,4.25,846.37,2023,5,2,Sunday,0,Micro (<1K),1,1,0
TXN0000011,CUST00763,2023-09-13 02:58:00,Healthcare,5550.13,Lucknow,Online,Declined,Classic,0.005,107091,27.75,5522.38,2023,9,3,Wednesday,0,Medium (5K-15K),0,0,0
TXN0000012,CUST00274,2024-05-07 01:57:00,Healthcare,4248.58,Kolkata,Online,Approved,Platinum,0.015,423930,63.73,4184.85,2024,5,2,Tuesday,0,Small (1K-5K),0,1,0
TXN0000013,CUST00808,2023-04-06 19:45:00,Grocery,3279.93,Hyderabad,Swipe,Approved,Platinum,0.015,493472,49.2,3230.73,2023,4,2,Thursday,0,Small (1K-5K),0,1,0
TXN0000014,CUST00408,2023-11-30 17:25:00,Electronics,13020.82,Mumbai,Online,Approved,Classic,0.005,69536,65.1,12955.72,2023,11,4,Thursday,0,Medium (5K-15K),0,1,1
TXN0000015,CUST00583,2024-02-29 06:37:00,Fuel,2795.85,Pune,Swipe,Approved,Gold,0.01,233177,27.96,2767.89,2024,2,1,Thursday,0,Small (1K-5K),0,1,0
TXN0000016,CUST00030,2024-08-13 21:08:00,Travel,5298.12,Lucknow,Contactless,Approved,Classic,0.005,50851,26.49,5271.63,2024,8,3,Tuesday,0,Medium (5K-15K),0,1,0
TXN0000017,CUST00376,2024-07-06 15:36:00,Grocery,1331.77,Kolkata,Emi,Approved,Classic,0.005,85697,6.66,1325.11,2024,7,3,Saturday,0,Small (1K-5K),1,1,0
TXN0000018,CUST00968,2024-06-21 15:10:00,Grocery,2289.81,Pune,Contactless,Approved,Classic,0.005,138117,11.45,2278.36,2024,6,2,Friday,0,Small (1K-5K),0,1,0
TXN0000019,CUST00097,2024-06-15 15:12:00,Dining,958.75,Pune,Contactless,Approved,Gold,0.01,205307,9.59,949.16,2024,6,2,Saturday,0,Micro (<1K),1,1,0
TXN0000020,CUST00091,2024-12-17 02:16:00,Online Shopping,6274.01,Ahmedabad,Online,Approved,Classic,0.005,80021,31.37,6242.64,2024,12,4,Tuesday,0,Medium (5K-15K),0,1,0
TXN0000021,CUST00911,2023-06-11 09:36:00,Dining,1373.89,Pune,Swipe,Approved,Gold,0.01,150701,13.74,1360.15,2023,6,2,Sunday,0,Small (1K-5K),1,1,0
TXN0000022,CUST00955,2024-01-06 13:11:00,Healthcare,1338.68,Delhi,Contactless,Approved,Classic,0.005,60543,6.69,1331.99,2024,1,1,Saturday,0,Small (1K-5K),1,1,0
TXN0000023,CUST00047,2024-08-13 03:30:00,Dining,710.84,Kolkata,Swipe,Approved,Classic,0.005,55695,3.55,707.29,2024,8,3,Tuesday,0,Micro (<1K),0,1,0
TXN0000024,CUST00556,2024-11-13 18:25:00,Dining,2427.65,Lucknow,Online,Approved,Classic,0.005,132544,12.14,2415.51,2024,11,4,Wednesday,0,Small (1K-5K),0,1,0
TXN0000025,CUST00147,2023-11-14 09:07:00,Entertainment,100.0,Hyderabad,Contactless,Approved,Gold,0.01,191460,1.0,99.0,2023,11,4,Tuesday,0,Micro (<1K),0,1,0
TXN0000026,CUST00170,2024-03-13 00:15:00,Fuel,1391.17,Bengaluru,Emi,Approved,Gold,0.01,155105,13.91,1377.26,2024,3,1,Wednesday,0,Small (1K-5K),0,1,0
